#
# $Id: adxectivos.txt,v 1.4 2007/10/03 07:03:01 fmendez Exp $
# $Name:  $
#	
aaronita,M,S
abromada,F,S,abromado
abromadas,F,P,abromado
abromado,M,S,abromado
abromados,M,P,abromado
abroquelada,F,S,abroquelado
abroqueladas,F,P,abroquelado
abroquelado,M,S,abroquelado
abroquelados,M,P,abroquelado
abrumador,M,S,abrumador
abrumadora,F,S,abrumador
abrumadoras,F,P,abrumador
abrumadores,M,P,abrumador
abrupta,F,S,abrupto
abruptas,F,P,abrupto
abrupto,M,S,abrupto
abruptos,M,P,abrupto
abrutada,F,S,abrutado
abrutadas,F,P,abrutado
abrutado,M,S,abrutado
abrutados,M,P,abrutado
abruza,F,S,abruzo
abruzas,F,P,abruzo
abruzo,M,S,abruzo
abruzos,M,P,abruzo
absente,A,S
absentes,A,P
absentista,A,S
absentistas,A,P,absentista
absidal,A,S,absidal
absidales,A,P,absidal
absoluta,F,S
absolutas,F,P,absoluto
absolutista,A,S
absolutistas,A,P,absolutista
absoluto,M,S
absolutoria,F,S,absolutorio
absolutorias,F,P,absolutorio
absolutorio,M,S,absolutorio
absolutorios,M,P,absolutorio
absolutos,M,P,absoluto
absolvedor,M,S,absolvedor
absolvedora,F,S,absolvedor
absolvedoras,F,P,absolvedor
absolvedores,M,P,absolvedor
absorbente,A,S
absorbentes,A,P,absorbente
absorbible,A,S,absorbible
absorbibles,A,P,absorbible
absorta,F,S,absorto
absortas,F,P,absorto
absorto,M,S,absorto
absortos,M,P,absorto
abstemia,F,S,abstemio
abstemias,F,P,abstemio
abstemio,M,S,abstemio
abstemios,M,P,abstemio
abstencionista,A,S
abstencionistas,A,P,abstencionista
abstergente,A,S
abstergentes,A,P,abstergente
abstersiva,F,S,abstersivo
abstersivas,F,P,abstersivo
abstersivo,M,S,abstersivo
abstersivos,M,P,abstersivo
abstinente,A,S
abstinentes,A,P,abstinente
abstracta,F,S
abstractas,F,P,abstracto
abstractiva,F,S,abstractivo
abstractivas,F,P,abstractivo
abstractivo,M,S,abstractivo
abstractivos,M,P,abstractivo
abstracto,M,S,abstracto
abstractos,M,P,abstracto
abstraída,F,S,abstraído
abstraídas,F,P,abstraído
abstraído,M,S,abstraído
abstraídos,M,P,abstraído
abstrusa,F,S,abstruso
abstrusas,F,P,abstruso
abstruso,M,S,abstruso
